Date,Symbol,Quantity,Unit Price,Total Gross Value,Commission,Net Value,Currency
2024-01-15,AAPL,50,190.25,9512.50,-19.95,9492.55,USD
2024-01-20,MSFT,25,390.35,9758.75,-19.95,9738.80,USD
2024-02-05,GOOGL,-10,140.50,-1405.00,-19.95,-1424.95,USD
2024-02-15,AAPL,-25,195.75,-4893.75,-19.95,-4913.70,USD
2024-03-01,TSLA,15,180.25,2703.75,-19.95,2683.80,USD
2024-03-15,AMZN,-15,178.50,-2677.50,-19.95,-2697.45,USD
2024-04-01,MSFT,-30,410.25,-12307.50,-19.95,-12327.45,USD
2024-04-15,NVDA,20,875.50,17510.00,-19.95,17490.05,USD
2024-05-01,GOOGL,15,142.75,2141.25,-19.95,2121.30,USD
2024-05-15,TSLA,-25,190.50,-4762.50,-19.95,-4782.45,USD
